產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"建材營造","1453","大將","一般","15591","12664","18","866","704","700 ","0.60 %","0.02","1282","1101","2.65",
"紡織纖維","1454","台富","一般","277815","231554","404","688","573","558 ","2.70 %","0.10","930","791","1.55",
"紡織纖維","1455","集盛","一般","947689","802070","1278","742","628","606 ","3.60 %","0.01","930","791","1.55",
"建材營造","1456","怡華","一般","30659","26228","30","1022","874","936 ","-6.60 %","1.11","1282","1101","2.65",
"紡織纖維","1457","宜進","一般","21006","17371","21","1000","827","1116 ","-25.90 %","0.91","930","791","1.55",
"紡織纖維","1459","聯發","一般","89943","72971","109","825","669","611 ","9.50 %","0.68","930","791","1.55",
"紡織纖維","1460","宏遠","一般","1036496","842625","1462","709","576","551 ","4.50 %","-0.41","930","791","1.55",
"紡織纖維","1463","強盛新","一般","112525","97424","163","690","598","531 ","12.60 %","3.28","930","791","1.55",
"紡織纖維","1464","得力","一般","532612","457689","718","742","637","552 ","15.40 %","1.04","930","791","1.55",
"紡織纖維","1465","偉全","一般","100951","84269","154","656","547","542 ","0.90 %","0.65","930","791","1.55",
"紡織纖維","1466","聚隆","一般","227239","189695","321","708","591","607 ","-2.60 %","0.14","930","791","1.55",
"紡織纖維","1467","南緯","一般","180896","150849","197","918","766","762 ","0.50 %","0.46","930","791","1.55",
"紡織纖維","1468","昶和","一般","35679","29944","45","793","665","578 ","15.10 %","0.94","930","791","1.55",
"紡織纖維","1470","大統新創","一般","186454","162021","246","758","659","563 ","17.10 %","1.13","930","791","1.55",
"電子零組件業","1471","首利","一般","33827","28758","30","1128","959","932 ","2.90 %","0.04","1162","998","6.57",
"建材營造","1472","三洋實業","一般","65802","59243","41","1605","1445","981 ","47.30 %","3.31","1282","1101","2.65",
"紡織纖維","1473","台南","一般","360437","310644","351","1027","885","767 ","15.40 %","3.02","930","791","1.55",
"紡織纖維","1474","弘裕","一般","339276","285938","458","741","624","568 ","9.90 %","0.82","930","791","1.55",
"紡織纖維","1475","業旺","一般","18329","15638","15","1222","1043","821 ","27.00 %","7.22","930","791","1.55",
"紡織纖維","1476","儒鴻","一般","2352993","2083368","1820","1293","1145","1015 ","12.80 %","24.20","930","791","1.55",
"紡織纖維","1477","聚陽","一般","1648337","1474057","846","1948","1742","1927 ","-9.60 %","16.68","930","791","1.55",
"電機機械","1503","士電","一般","2888231","2560991","2198","1314","1165","1103 ","5.60 %","5.81","1005","855","3.85",
"電機機械","1504","東元","一般","2206277","1842712","2187","1009","843","1102 ","-23.50 %","2.73","1005","855","3.85",
"電機機械","1506","正道","一般","162861","130565","272","599","480","506 ","-5.10 %","0.14","1005","855","3.85",
"汽車工業","1512","瑞利","一般","97964","84056","121","810","695","636 ","9.30 %","-0.68","1040","881","5.81",
"電機機械","1513","中興電","一般","2104284","1765094","1894","1111","932","889 ","4.80 %","7.33","1005","855","3.85",
